rd_inv,milepost,rodwycls,CASENO,ACCYR,RTE_NBR,RD_TYPE,DISTRICT,COUNTY,rur_urb,FUNC_CLS,MONTH,DAYMTH,WEEKDAY,TIME,ADMCLASS,v1event1,ACCTYPE,v2event1,IMPACT,REPORT,SEVERITY,TOT_INJ,TOT_KILL,TOT_PED,NUMVEHS,loc_type,RD_CHAR1,RDSURF,RD_REL,LIGHT,coltype1,coltype2,OBJECT1,OBJECT2,AGENCY,TIMENOTE,HAZMAT,FIRE,TIMEARR,HIT_RUN,NO_PEDS,intent,nonmvind,medcause,AC_SRMP,loc_char,weather,LATITUDE,LONGITUDE,postcode
12,179.36,8,2013012853,2013,12,NULL,5,39,R,43,4,23,2,1725,1,A,60,0,D0,1,1,0,0,0,1,4,1,1,NULL,1,50,52,74,NULL,1,1733,NULL,0,1747,0,0,0,0,0,179.7,.,1,46.707269,-120.88837,98937
12,189.58,3,201329871,2013,12,NULL,5,39,U,53,9,10,2,720,1,A,12,C,A6,1,1,0,0,0,2,1,1,1,NULL,1,28,0,0,0,1,727,NULL,0,734,0,0,0,0,0,189.87,.,1,46.732875,-120.716879,98937
12,196.37,1,2013006670,2013,12,NULL,5,39,U,52,2,22,5,1305,1,A,12,A,D1,2,6,2,0,0,2,1,5,1,NULL,1,10,NULL,NULL,NULL,1,1308,NULL,0,1310,0,0,0,0,0,196.67,.,2,46.66234,-120.622075,98908
12,201.34,1,2013008670,2013,12,NULL,5,39,U,52,3,13,3,1250,1,A,50,0,A0,1,1,0,0,0,1,4,1,1,NULL,1,52,NULL,NULL,NULL,1,1255,NULL,0,1302,0,0,0,0,0,201.61,.,1,46.622571,-120.542961,98908
22,2.86,3,2013017738,2013,22,NULL,5,39,U,53,6,5,3,1738,1,C,2,A,A1,1,1,0,0,0,2,1,2,1,NULL,1,28,NULL,NULL,NULL,2,1738,NULL,0,1740,0,0,0,0,0,3.55,.,1,46.397875,-120.314544,98921
22,20.54,8,201335459,2013,22,NULL,5,39,R,45,10,21,1,1605,1,A,32,0,D1,1,1,0,0,0,1,4,1,1,NULL,1,48,0,0,0,1,1606,NULL,0,1649,0,0,0,0,0,21.22,.,1,46.227268,-120.06162,98935
24,2.08,7,2013027962,2013,24,NULL,5,39,R,42,8,24,6,2310,1,B,34,0,E1,2,7,1,0,0,1,1,2,1,NULL,4,50,0,16,0,2,2311,NULL,0,2316,0,0,0,0,0,2.08,.,1,46.575129,-120.436852,98901
82,69.28,1,2013018376,2013,82,NULL,5,39,U,51,6,9,7,1431,1,A,33,0,D0,2,7,1,0,0,1,4,5,1,NULL,1,50,NULL,74,NULL,1,1432,NULL,0,1437,0,0,0,0,0,69.31,.,1,46.30625,-119.977083,98944
97,60.38000000000002,8,2013000406,2013,97,NULL,5,39,R,43,3,18,1,1011,1,A,2,A,D1,2,6,1,0,0,2,1,1,1,NULL,1,10,NULL,NULL,NULL,1,1011,NULL,0,1015,0,0,0,0,0,60.77,.,1,46.348671,-120.320504,98948
97,66.11,9,2013018043,2013,97,NULL,5,39,R,44,6,8,6,1822,1,A,3,A,A1,1,1,0,0,0,2,1,1,1,NULL,1,10,0,0,0,1,1825,NULL,0,1832,1,0,0,0,0,66.5,.,1,46.413509000000005,-120.391236,98948
